Spin,Cumulative RTP,Theoretical
1000.00,1.020868584,0.98
2000.00,0.95,0.98
3000.00,0.92,0.98
4000.00,0.95,0.98
5000.00,0.941906373,0.98
6000.00,0.934386163,0.98
7000.00,0.945935058,0.98
8000.00,0.956006768,0.98
9000.00,0.962586952,0.98
10000.00,0.967287084,0.98
11000.00,0.963954263,0.98
12000.00,0.96963715,0.98
13000.00,0.975313463,0.98
14000.00,0.97,0.98
15000.00,0.987027637,0.98
16000.00,0.981387479,0.98
17000.00,0.974420225,0.98
18000.00,0.982954189,0.98
19000.00,0.974559919,0.98
20000.00,0.970107163,0.98
21000.00,0.96,0.98
22000.00,0.968312567,0.98
23000.00,0.96,0.98
24000.00,0.962116939,0.98
25000.00,0.956570784,0.98
26000.00,0.96077921,0.98
27000.00,0.963631426,0.98
28000.00,0.955805334,0.98
29000.00,0.9562985,0.98
30000.00,0.954314721,0.98
31000.00,0.954824154,0.98
32000.00,0.954596729,0.98
33000.00,0.960535986,0.98
34000.00,0.960651604,0.98
35000.00,0.958343405,0.98
36000.00,0.956163439,0.98
37000.00,0.955625676,0.98
38000.00,0.953038264,0.98
39000.00,0.96,0.98
40000.00,0.959108855,0.98
41000.00,0.962128403,0.98
42000.00,0.96,0.98
43000.00,0.964860504,0.98
44000.00,0.969978978,0.98
45000.00,0.967600426,0.98
46000.00,0.970352387,0.98
47000.00,0.968547119,0.98
48000.00,0.976569844,0.98
49000.00,0.977589005,0.98
50000.00,0.981049069,0.98
51000.00,0.979949792,0.98
52000.00,0.977699683,0.98
53000.00,0.98,0.98
54000.00,0.983894216,0.98
55000.00,0.984463929,0.98
56000.00,0.99,0.98
57000.00,0.99,0.98
58000.00,0.992473306,0.98
59000.00,0.991711836,0.98
60000.00,0.997273924,0.98
61000.00,0.998123029,0.98
62000.00,0.999945418,0.98
63000.00,0.999382268,0.98
64000.00,0.99874859,0.98
65000.00,1.003687796,0.98
66000.00,1.005059051,0.98
67000.00,1.006557736,0.98
68000.00,1.006270529,0.98
69000.00,1.00738125,0.98
70000.00,1.006043026,0.98
71000.00,1.003709794,0.98
72000.00,1.002538071,0.98
73000.00,1.003407273,0.98
74000.00,1.001737778,0.98
75000.00,0.998157548,0.98
76000.00,0.999346929,0.98
77000.00,0.998088206,0.98
78000.00,0.997150997,0.98
79000.00,0.997879586,0.98
80000.00,0.997391427,0.98
81000.00,0.998447216,0.98
82000.00,1.00,0.98
83000.00,0.994842313,0.98
84000.00,0.995085005,0.98
85000.00,1.00,0.98
86000.00,0.996930705,0.98
87000.00,0.996168582,0.98
88000.00,0.997987489,0.98
89000.00,0.998181208,0.98
90000.00,0.997179921,0.98
91000.00,0.997998054,0.98
92000.00,0.995978322,0.98
93000.00,0.996609841,0.98
94000.00,0.996627906,0.98
95000.00,0.997951732,0.98
96000.00,0.997309175,0.98
97000.00,0.996679866,0.98
98000.00,0.994221716,0.98
99000.00,0.99420602,0.98
100000.00,0.992836999,0.98
101000.00,0.993505442,0.98
102000.00,0.996593787,0.98
103000.00,0.995022424,0.98
104000.00,0.994132066,0.98
105000.00,0.9954073,0.98
