Spin,Symbols,Reel1,Payout,Win
1,Cherry-Cherry-Lemon,Cherry,0,0
2,Lemon-Lemon-Lemon,Lemon,4,1
3,Bar-Lemon-Bar,Bar,0,0
4,Cherry-Cherry-Cherry,Cherry,2,1
5,Bell-Cherry-Cherry,Bell,0,0
6,Cherry-Cherry-Cherry,Cherry,2,1
7,Lemon-Lemon-Cherry,Lemon,0,0
8,Cherry-Bar-Lemon,Cherry,0,0
9,Seven-Lemon-Cherry,Seven,0,0
10,Lemon-Cherry-Cherry,Lemon,0,0
11,Cherry-Lemon-Cherry,Cherry,0,0
12,Lemon-Lemon-Cherry,Lemon,0,0
13,Lemon-Cherry-Cherry,Lemon,0,0
14,Cherry-Bell-Cherry,Cherry,0,0
15,Bell-Bell-Cherry,Bell,0,0
16,Lemon-Cherry-Cherry,Lemon,0,0
17,Cherry-Cherry-Bar,Cherry,0,0
18,Cherry-Bell-Bar,Cherry,0,0
19,Lemon-Cherry-Lemon,Lemon,0,0
20,Bell-Cherry-Lemon,Bell,0,0
21,Bell-Lemon-Lemon,Bell,0,0
22,Cherry-Cherry-Lemon,Cherry,0,0
23,Cherry-Lemon-Lemon,Cherry,0,0
24,Cherry-Cherry-Cherry,Cherry,2,1
25,Cherry-Cherry-Cherry,Cherry,2,1
26,Lemon-Lemon-Lemon,Lemon,4,1
27,Bell-Cherry-Lemon,Bell,0,0
28,Cherry-Cherry-Bar,Cherry,0,0
29,Cherry-Cherry-Lemon,Cherry,0,0
30,Cherry-Lemon-Bell,Cherry,0,0
31,Seven-Lemon-Lemon,Seven,0,0
32,Cherry-Cherry-Cherry,Cherry,2,1
33,Cherry-Lemon-Cherry,Cherry,0,0
34,Lemon-Lemon-Cherry,Lemon,0,0
35,Lemon-Bar-Cherry,Lemon,0,0
36,Cherry-Lemon-Lemon,Cherry,0,0
37,Cherry-Cherry-Cherry,Cherry,2,1
38,Cherry-Lemon-Lemon,Cherry,0,0
39,Cherry-Bar-Cherry,Cherry,0,0
40,Lemon-Cherry-Cherry,Lemon,0,0
41,Lemon-Lemon-Seven,Lemon,0,0
42,Lemon-Bell-Lemon,Lemon,0,0
43,Cherry-Cherry-Lemon,Cherry,0,0
44,Cherry-Cherry-Cherry,Cherry,2,1
45,Cherry-Bell-Lemon,Cherry,0,0
46,Lemon-Cherry-Cherry,Lemon,0,0
47,Bar-Bell-Lemon,Bar,0,0
48,Cherry-Bell-Bell,Cherry,0,0
49,Bar-Cherry-Lemon,Bar,0,0
50,Cherry-Cherry-Cherry,Cherry,2,1
51,Cherry-Cherry-Cherry,Cherry,2,1
52,Lemon-Cherry-Cherry,Lemon,0,0
53,Bell-Cherry-Lemon,Bell,0,0
54,Cherry-Lemon-Cherry,Cherry,0,0
55,Cherry-Lemon-Cherry,Cherry,0,0
56,Cherry-Lemon-Cherry,Cherry,0,0
57,Bell-Bell-Cherry,Bell,0,0
58,Lemon-Cherry-Bell,Lemon,0,0
59,Lemon-Cherry-Lemon,Lemon,0,0
60,Lemon-Bar-Cherry,Lemon,0,0
61,Lemon-Bar-Cherry,Lemon,0,0
62,Cherry-Cherry-Bell,Cherry,0,0
63,Cherry-Bell-Cherry,Cherry,0,0
64,Bell-Cherry-Cherry,Bell,0,0
65,Cherry-Cherry-Cherry,Cherry,2,1
66,Lemon-Cherry-Cherry,Lemon,0,0
67,Lemon-Bell-Cherry,Lemon,0,0
68,Bar-Lemon-Lemon,Bar,0,0
69,Lemon-Cherry-Lemon,Lemon,0,0
70,Cherry-Lemon-Lemon,Cherry,0,0
71,Cherry-Cherry-Cherry,Cherry,2,1
72,Lemon-Lemon-Cherry,Lemon,0,0
73,Bell-Cherry-Cherry,Bell,0,0
74,Cherry-Bar-Cherry,Cherry,0,0
75,Bar-Cherry-Cherry,Bar,0,0
76,Cherry-Seven-Cherry,Cherry,0,0
77,Cherry-Cherry-Lemon,Cherry,0,0
78,Seven-Lemon-Bell,Seven,0,0
79,Cherry-Lemon-Cherry,Cherry,0,0
80,Cherry-Bell-Cherry,Cherry,0,0
81,Lemon-Lemon-Cherry,Lemon,0,0
82,Lemon-Lemon-Lemon,Lemon,4,1
83,Cherry-Cherry-Cherry,Cherry,2,1
84,Cherry-Bar-Lemon,Cherry,0,0
85,Cherry-Lemon-Cherry,Cherry,0,0
86,Bell-Cherry-Lemon,Bell,0,0
87,Lemon-Cherry-Cherry,Lemon,0,0
88,Cherry-Lemon-Cherry,Cherry,0,0
89,Bell-Lemon-Lemon,Bell,0,0
90,Lemon-Cherry-Bell,Lemon,0,0
91,Bell-Seven-Cherry,Bell,0,0
92,Cherry-Bar-Lemon,Cherry,0,0
93,Cherry-Cherry-Bell,Cherry,0,0
94,Bell-Bell-Lemon,Bell,0,0
95,Cherry-Cherry-Cherry,Cherry,2,1
96,Bar-Lemon-Lemon,Bar,0,0
97,Bell-Lemon-Lemon,Bell,0,0
98,Cherry-Bell-Cherry,Cherry,0,0
99,Lemon-Cherry-Cherry,Lemon,0,0
100,Cherry-Bell-Lemon,Cherry,0,0
101,Bar-Cherry-Cherry,Bar,0,0
102,Seven-Cherry-Lemon,Seven,0,0
103,Lemon-Lemon-Lemon,Lemon,4,1
104,Cherry-Cherry-Lemon,Cherry,0,0
105,Bar-Seven-Lemon,Bar,0,0
106,Cherry-Bell-Cherry,Cherry,0,0
107,Lemon-Seven-Cherry,Lemon,0,0
108,Bell-Cherry-Bell,Bell,0,0
109,Lemon-Lemon-Cherry,Lemon,0,0
110,Lemon-Lemon-Lemon,Lemon,4,1
111,Lemon-Cherry-Cherry,Lemon,0,0
112,Lemon-Cherry-Lemon,Lemon,0,0
113,Lemon-Bar-Bell,Lemon,0,0
114,Cherry-Cherry-Bell,Cherry,0,0
115,Bar-Cherry-Bar,Bar,0,0
116,Lemon-Cherry-Lemon,Lemon,0,0
117,Cherry-Cherry-Cherry,Cherry,2,1
118,Cherry-Bar-Lemon,Cherry,0,0
119,Lemon-Cherry-Lemon,Lemon,0,0
120,Cherry-Bell-Cherry,Cherry,0,0
121,Cherry-Bell-Cherry,Cherry,0,0
122,Lemon-Bell-Cherry,Lemon,0,0
123,Cherry-Bell-Lemon,Cherry,0,0
124,Bell-Cherry-Cherry,Bell,0,0
125,Cherry-Bell-Cherry,Cherry,0,0
126,Cherry-Cherry-Cherry,Cherry,2,1
127,Cherry-Bell-Bell,Cherry,0,0
128,Cherry-Cherry-Lemon,Cherry,0,0
129,Cherry-Cherry-Cherry,Cherry,2,1
130,Bar-Bell-Cherry,Bar,0,0
131,Cherry-Bell-Cherry,Cherry,0,0
132,Cherry-Cherry-Bell,Cherry,0,0
133,Cherry-Cherry-Lemon,Cherry,0,0
134,Cherry-Cherry-Lemon,Cherry,0,0
135,Cherry-Bell-Cherry,Cherry,0,0
136,Lemon-Cherry-Cherry,Lemon,0,0
137,Lemon-Cherry-Cherry,Lemon,0,0
138,Cherry-Cherry-Lemon,Cherry,0,0
139,Cherry-Lemon-Lemon,Cherry,0,0
140,Bell-Lemon-Seven,Bell,0,0
141,Cherry-Bar-Cherry,Cherry,0,0
142,Bell-Cherry-Bell,Bell,0,0
143,Bell-Cherry-Lemon,Bell,0,0
144,Bell-Seven-Bell,Bell,0,0
145,Lemon-Bell-Cherry,Lemon,0,0
146,Bell-Cherry-Cherry,Bell,0,0
147,Bell-Lemon-Lemon,Bell,0,0
148,Cherry-Lemon-Cherry,Cherry,0,0
149,Bell-Cherry-Lemon,Bell,0,0
150,Lemon-Lemon-Lemon,Lemon,4,1
151,Cherry-Cherry-Lemon,Cherry,0,0
152,Cherry-Bell-Lemon,Cherry,0,0
153,Cherry-Bar-Lemon,Cherry,0,0
154,Cherry-Cherry-Cherry,Cherry,2,1
155,Cherry-Cherry-Bar,Cherry,0,0
156,Lemon-Cherry-Lemon,Lemon,0,0
157,Cherry-Cherry-Seven,Cherry,0,0
158,Lemon-Lemon-Bell,Lemon,0,0
159,Cherry-Cherry-Lemon,Cherry,0,0
160,Cherry-Cherry-Lemon,Cherry,0,0
161,Bar-Lemon-Cherry,Bar,0,0
162,Cherry-Cherry-Cherry,Cherry,2,1
163,Cherry-Lemon-Lemon,Cherry,0,0
164,Cherry-Cherry-Bell,Cherry,0,0
165,Cherry-Cherry-Lemon,Cherry,0,0
166,Cherry-Seven-Bell,Cherry,0,0
167,Lemon-Lemon-Bell,Lemon,0,0
168,Lemon-Cherry-Lemon,Lemon,0,0
169,Lemon-Cherry-Cherry,Lemon,0,0
170,Lemon-Cherry-Cherry,Lemon,0,0
171,Bell-Lemon-Cherry,Bell,0,0
172,Bell-Cherry-Cherry,Bell,0,0
173,Cherry-Seven-Cherry,Cherry,0,0
174,Lemon-Lemon-Cherry,Lemon,0,0
175,Lemon-Cherry-Bar,Lemon,0,0
176,Bell-Cherry-Lemon,Bell,0,0
177,Lemon-Lemon-Bell,Lemon,0,0
178,Cherry-Cherry-Bar,Cherry,0,0
179,Bell-Cherry-Bar,Bell,0,0
180,Cherry-Cherry-Bell,Cherry,0,0
181,Bar-Lemon-Bell,Bar,0,0
182,Bell-Cherry-Lemon,Bell,0,0
183,Lemon-Cherry-Lemon,Lemon,0,0
184,Cherry-Cherry-Cherry,Cherry,2,1
185,Cherry-Cherry-Cherry,Cherry,2,1
186,Lemon-Cherry-Cherry,Lemon,0,0
187,Bar-Lemon-Lemon,Bar,0,0
188,Cherry-Lemon-Cherry,Cherry,0,0
189,Lemon-Bell-Lemon,Lemon,0,0
190,Lemon-Cherry-Cherry,Lemon,0,0
191,Cherry-Lemon-Seven,Cherry,0,0
192,Lemon-Cherry-Lemon,Lemon,0,0
193,Lemon-Cherry-Seven,Lemon,0,0
194,Cherry-Cherry-Lemon,Cherry,0,0
195,Bell-Bell-Lemon,Bell,0,0
196,Cherry-Cherry-Bell,Cherry,0,0
197,Cherry-Lemon-Bell,Cherry,0,0
198,Bell-Lemon-Lemon,Bell,0,0
199,Cherry-Lemon-Bell,Cherry,0,0
200,Cherry-Lemon-Cherry,Cherry,0,0
201,Bar-Cherry-Cherry,Bar,0,0
202,Cherry-Lemon-Cherry,Cherry,0,0
203,Cherry-Cherry-Cherry,Cherry,2,1
204,Cherry-Cherry-Lemon,Cherry,0,0
205,Bell-Bar-Lemon,Bell,0,0
206,Lemon-Cherry-Cherry,Lemon,0,0
207,Cherry-Cherry-Cherry,Cherry,2,1
208,Seven-Cherry-Cherry,Seven,0,0
209,Bell-Cherry-Cherry,Bell,0,0
210,Cherry-Bell-Cherry,Cherry,0,0
211,Lemon-Lemon-Lemon,Lemon,4,1
212,Bell-Lemon-Lemon,Bell,0,0
213,Lemon-Cherry-Cherry,Lemon,0,0
214,Cherry-Cherry-Cherry,Cherry,2,1
215,Cherry-Cherry-Bar,Cherry,0,0
216,Cherry-Lemon-Cherry,Cherry,0,0
217,Lemon-Bell-Lemon,Lemon,0,0
218,Lemon-Cherry-Cherry,Lemon,0,0
219,Bar-Lemon-Cherry,Bar,0,0
220,Cherry-Lemon-Cherry,Cherry,0,0
221,Cherry-Cherry-Bell,Cherry,0,0
222,Bar-Bar-Lemon,Bar,0,0
223,Cherry-Bell-Cherry,Cherry,0,0
224,Seven-Cherry-Cherry,Seven,0,0
225,Lemon-Lemon-Lemon,Lemon,4,1
226,Bar-Lemon-Lemon,Bar,0,0
227,Cherry-Seven-Cherry,Cherry,0,0
228,Cherry-Lemon-Seven,Cherry,0,0
229,Cherry-Cherry-Lemon,Cherry,0,0
230,Cherry-Bar-Cherry,Cherry,0,0
231,Lemon-Bell-Bell,Lemon,0,0
232,Cherry-Lemon-Cherry,Cherry,0,0
233,Bell-Bar-Cherry,Bell,0,0
234,Cherry-Cherry-Bell,Cherry,0,0
235,Cherry-Lemon-Lemon,Cherry,0,0
236,Cherry-Cherry-Bell,Cherry,0,0
237,Cherry-Cherry-Lemon,Cherry,0,0
238,Cherry-Cherry-Bell,Cherry,0,0
239,Bell-Cherry-Lemon,Bell,0,0
240,Cherry-Lemon-Bar,Cherry,0,0
241,Cherry-Lemon-Cherry,Cherry,0,0
242,Cherry-Lemon-Lemon,Cherry,0,0
243,Cherry-Cherry-Cherry,Cherry,2,1
244,Lemon-Cherry-Lemon,Lemon,0,0
245,Lemon-Cherry-Cherry,Lemon,0,0
246,Lemon-Cherry-Bell,Lemon,0,0
247,Lemon-Bar-Bell,Lemon,0,0
248,Lemon-Bell-Cherry,Lemon,0,0
249,Cherry-Cherry-Cherry,Cherry,2,1
250,Cherry-Lemon-Bell,Cherry,0,0
251,Cherry-Lemon-Cherry,Cherry,0,0
252,Bell-Cherry-Cherry,Bell,0,0
253,Cherry-Bar-Bell,Cherry,0,0
254,Lemon-Bar-Bell,Lemon,0,0
255,Bell-Cherry-Cherry,Bell,0,0
256,Bell-Cherry-Cherry,Bell,0,0
257,Lemon-Cherry-Cherry,Lemon,0,0
258,Bell-Cherry-Cherry,Bell,0,0
259,Bell-Cherry-Cherry,Bell,0,0
260,Lemon-Bar-Cherry,Lemon,0,0
261,Cherry-Lemon-Bell,Cherry,0,0
262,Cherry-Cherry-Lemon,Cherry,0,0
263,Lemon-Cherry-Cherry,Lemon,0,0
264,Lemon-Cherry-Seven,Lemon,0,0
265,Bar-Cherry-Cherry,Bar,0,0
266,Cherry-Cherry-Bell,Cherry,0,0
267,Cherry-Cherry-Seven,Cherry,0,0
268,Cherry-Bell-Lemon,Cherry,0,0
269,Cherry-Bar-Cherry,Cherry,0,0
270,Cherry-Lemon-Lemon,Cherry,0,0
271,Lemon-Cherry-Cherry,Lemon,0,0
272,Cherry-Cherry-Cherry,Cherry,2,1
273,Lemon-Cherry-Cherry,Lemon,0,0
274,Cherry-Cherry-Cherry,Cherry,2,1
275,Lemon-Lemon-Lemon,Lemon,4,1
276,Bar-Lemon-Cherry,Bar,0,0
277,Bell-Bell-Lemon,Bell,0,0
278,Cherry-Lemon-Bar,Cherry,0,0
279,Lemon-Cherry-Bell,Lemon,0,0
280,Cherry-Cherry-Lemon,Cherry,0,0
281,Cherry-Lemon-Bell,Cherry,0,0
282,Lemon-Lemon-Lemon,Lemon,4,1
283,Lemon-Cherry-Bell,Lemon,0,0
284,Cherry-Bell-Cherry,Cherry,0,0
285,Bell-Cherry-Lemon,Bell,0,0
286,Lemon-Cherry-Bar,Lemon,0,0
287,Cherry-Bell-Bell,Cherry,0,0
288,Cherry-Lemon-Cherry,Cherry,0,0
289,Lemon-Cherry-Bell,Lemon,0,0
290,Bar-Lemon-Lemon,Bar,0,0
291,Bell-Cherry-Cherry,Bell,0,0
292,Bell-Cherry-Cherry,Bell,0,0
293,Cherry-Bar-Cherry,Cherry,0,0
294,Lemon-Bar-Lemon,Lemon,0,0
295,Cherry-Lemon-Cherry,Cherry,0,0
296,Cherry-Cherry-Cherry,Cherry,2,1
297,Cherry-Lemon-Cherry,Cherry,0,0
298,Cherry-Lemon-Lemon,Cherry,0,0
299,Cherry-Cherry-Cherry,Cherry,2,1
300,Cherry-Seven-Cherry,Cherry,0,0
301,Cherry-Lemon-Cherry,Cherry,0,0
302,Cherry-Cherry-Cherry,Cherry,2,1
303,Lemon-Cherry-Cherry,Lemon,0,0
304,Cherry-Lemon-Lemon,Cherry,0,0
305,Cherry-Lemon-Cherry,Cherry,0,0
306,Cherry-Seven-Cherry,Cherry,0,0
307,Bell-Cherry-Lemon,Bell,0,0
308,Bell-Bell-Lemon,Bell,0,0
309,Bar-Bell-Cherry,Bar,0,0
310,Seven-Lemon-Seven,Seven,0,0
311,Lemon-Cherry-Bell,Lemon,0,0
312,Lemon-Bar-Lemon,Lemon,0,0
313,Cherry-Bar-Lemon,Cherry,0,0
314,Cherry-Cherry-Lemon,Cherry,0,0
315,Bar-Lemon-Bar,Bar,0,0
316,Cherry-Cherry-Cherry,Cherry,2,1
317,Bell-Cherry-Lemon,Bell,0,0
318,Cherry-Bell-Bell,Cherry,0,0
319,Cherry-Lemon-Cherry,Cherry,0,0
320,Cherry-Bar-Cherry,Cherry,0,0
321,Cherry-Lemon-Cherry,Cherry,0,0
322,Lemon-Lemon-Lemon,Lemon,4,1
323,Cherry-Cherry-Lemon,Cherry,0,0
324,Bell-Bell-Bell,Bell,10,1
325,Lemon-Cherry-Bell,Lemon,0,0
326,Bell-Cherry-Lemon,Bell,0,0
327,Cherry-Bell-Cherry,Cherry,0,0
